"id","descripcion"
1,Plaza Venezuela
2,Sabana Grande
3,Bello Monte
4,Chacaito
5,Las Mercedes
6,Chacao
7,Altamira
8,Miranda
9,Chuao
10,Los Dos Caminos
11,Los Cortijos
12,La California Norte
13,La California Sur
14,El Llanito
15,Petare
16,Palo Verde
17,Zona Rental
18,Colegio de Ingenieros
19,Bellas Artes
20,San Bernardino
21,Parque Central
22,Parque Carabobo
23,La Hoyada
24,San José
25,Nuevo Circo
26,Capitolio
27,La Pastora
28,Teatros
29,Caño Amarillo
30,Agua Salud
31,Gato Negro
32,Plaza Sucre
33,Pérez Bonalde
34,Propatria
35,Ciudad Universitaria
36,Los Simbolos
37,La Bandera
38,El Cementerio
39,Las Acacias
40,Av. Nueva Granada
41,El Valle
42,Los Jardines
43,Coche
44,Mercado
45,La Rinconada
46,Los Chaguaramos
47,Santa Mónica
48,Los Ilustres
49,El Silencio
50,Capuchinos
51,Maternidad
52,Qta. Crespo
53,El Paraiso
54,Artigas
55,La Paz
56,La Yaguara
57,La Vega
58,Montalban
59,Carapita
60,La Católica Andrés Bello
61,Antimano
62,Mamera
63,Ruíz Pineda
64,Caricuao
65,Las Adjuntas
66,Zoológico
67,Concresa
68,Baruta
69,La Trinidad
70,El Placer
71,El Hatillo
72,Santa Fe
73,El Cafetal
74,La Boyera
75,Colinas del Tamanaco
